"Country.Name","Country.Code","Indicator.Name","Indicator.Code","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X"
"Aruba","ABW","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07999992370605,NA,NA,6.44999980926514,NA,NA,7.44999980926514,NA,NA,6.92000007629395,6.90000009536743,NA,NA,NA,NA,NA,5.71000003814697,NA,NA,10.6000003814697,8.89999961853027,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49449992179871,NA,NA,NA,1.69190001487732,NA,NA,NA,NA,NA,NA
"Angola","AGO","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS",NA,NA,NA,NA,14.1999998092651,14.8999996185303,18.8999996185303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6427001953125,NA,NA,NA,NA,NA,NA,7.3621997833252,NA,NA,NA,NA,NA,NA,NA
"Albania","ALB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS",5.59999990463257,5.09999990463257,3.59999990463257,4.40000009536743,5.69999980926514,6.69999980926514,6.40000009536743,6.09999990463257,7,7.30000019073486,9.5,9.10000038146973,26.5,22.2999992370605,18.3999996185303,12.8999996185303,12.3000001907349,14.8999996185303,17.7000007629395,18.3999996185303,16.7999992370605,16.3999996185303,15.8000001907349,15,14.3999996185303,14.1000003814697,13.8000001907349,15.9663000106812,13.0599002838135,13.6738996505737,14.0860004425049,13.480899810791,13.3759002685547,15.8659000396729,17.4878005981445,17.0799999237061,15.2217998504639,13.7453002929688,NA
"Andorra","AND","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arab World","ARB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3379121072748,NA,NA,NA,NA,NA,10.4906591746513,9.70211646084817,9.62424348120889,9.25526459479636,NA,NA,10.7425321693565,NA,NA,NA,NA,NA,NA
"United Arab Emirates","ARE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS",NA,NA,NA,NA,NA,1.14999997615814,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79999995231628,NA,NA,NA,NA,2.25,NA,NA,NA,NA,3.11999988555908,NA,NA,4.01000022888184,4.16625213623047,NA,NA,NA,NA,NA,NA,1.63550198078156,2.46300005912781,NA
"Argentina","ARG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS",2.29999995231628,4.5,4.73000001907349,4.17000007629395,3.53999996185303,5.30000019073486,4.40000009536743,5.30000019073486,6,7.30000019073486,7.05999994277954,NA,6.3600001335144,10.1000003814697,11.7600002288818,18.7999992370605,17.1100006103516,14.8199996948242,12.6499996185303,14.0500001907349,15,17.3199996948242,19.5900001525879,15.3599996566772,13.5221004486084,11.5059003829956,10.0775003433228,8.47000026702881,7.83739995956421,8.64529991149902,NA,NA,NA,NA,NA,NA,NA,8.34739971160889,NA
"Armenia","ARM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79999995231628,5.30000019073486,6.59999990463257,6.69999980926514,9.30000019073486,10.8000001907349,9.39999961853027,11.1999998092651,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7399997711182,19.007999420166,NA,17.3090991973877,16.1788997650146,NA,NA,NA,17.8271007537842,NA
"American Samoa","ASM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS",12.4099998474121,12.6099996566772,12.7799997329712,12.960000038147,13.1099996566772,13.289999961853,13.3800001144409,NA,NA,NA,5.1100001335144,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05000019073486,NA,NA,NA,NA,9.97999954223633,NA,NA,NA,NA,9.19999980926514,NA,NA,NA,NA,NA,NA,NA,NA
